月份,行业,新增数量
201708,科学研究和技术服务业,6035
201707,科学研究和技术服务业,5679
201706,科学研究和技术服务业,6176
201705,科学研究和技术服务业,5963
201704,科学研究和技术服务业,5585
201703,科学研究和技术服务业,5892
201702,科学研究和技术服务业,2694
201701,科学研究和技术服务业,3665
201612,科学研究和技术服务业,5323
201611,科学研究和技术服务业,4891
201610,科学研究和技术服务业,3950
201609,科学研究和技术服务业,5342
201608,科学研究和技术服务业,5162
201607,科学研究和技术服务业,4671
201606,科学研究和技术服务业,5183
201605,科学研究和技术服务业,5220
201604,科学研究和技术服务业,5589
201603,科学研究和技术服务业,4819
201602,科学研究和技术服务业,1993
201601,科学研究和技术服务业,3580
201512,科学研究和技术服务业,4132
201511,科学研究和技术服务业,3685
201510,科学研究和技术服务业,2668
201509,科学研究和技术服务业,3206
201508,科学研究和技术服务业,3010
201507,科学研究和技术服务业,3472
201506,科学研究和技术服务业,3246
201505,科学研究和技术服务业,3655
201504,科学研究和技术服务业,3844
201503,科学研究和技术服务业,2538
201502,科学研究和技术服务业,1690
201501,科学研究和技术服务业,2537
201412,科学研究和技术服务业,2786
201411,科学研究和技术服务业,2289
201410,科学研究和技术服务业,1816
201409,科学研究和技术服务业,2326
201408,科学研究和技术服务业,2259
201407,科学研究和技术服务业,2633
201406,科学研究和技术服务业,2475
201405,科学研究和技术服务业,2542
201404,科学研究和技术服务业,2565
201403,科学研究和技术服务业,2375
201402,科学研究和技术服务业,978
201401,科学研究和技术服务业,1733
201312,科学研究和技术服务业,1707
201311,科学研究和技术服务业,1801
201310,科学研究和技术服务业,1451
201309,科学研究和技术服务业,1677
201308,科学研究和技术服务业,1722
201307,科学研究和技术服务业,1809
201306,科学研究和技术服务业,1598
201305,科学研究和技术服务业,1943
201304,科学研究和技术服务业,1845
201303,科学研究和技术服务业,1599
201302,科学研究和技术服务业,608
201301,科学研究和技术服务业,1486
201212,科学研究和技术服务业,1125
201211,科学研究和技术服务业,1355
